poi_id;writer;keyword;wrating;wtime;mlocation;review;ids;titlen;mrating;mtipe;wlocation;mtotreview;wlocationlat;wlocationlong
10;Frederik1958;great leaders, world history, historic event, founding fathers, asia africa, great moment, historical site, indonesian history, classic building, old building, go somewhere else, alun alun, visit this place, bandung city, braga street, soekarno, movement;50;2017/2/22;-6.921286,107.60898;The Asia Africa museum shows the first conference of independent states in 1955 initiated by President Sukarno.;461973319;A must for those who are interested in... - Museum of The Asian-African Conference;40;Specialty Museums, Museums ;Hank, The Netherlands;353;51.734558;4.895935
3;CheiThai M;indoor theme park, roller coaster, giant swing, dunia lain, science centre, vip pass, cash card, ghost house, adrenaline rush, ticket price, food court, entrance fee, shopping mall, nice place, rides, yamaha, parade;40;2017/9/18;-6.925377,107.63617;Great place to spend a day with. Varieties of shows available. But they mostly speaks in bahasa indonesia which is hard to understand. The roller coaster was under maintenance. ;524824381;Great for one day trip. - Trans Studio Bandung;40;Theme Parks, Water & Amusement Parks ;Malaysia;1772;4.210484;101.975766
3;M_Suryadi;indoor theme park, roller coaster, giant swing, dunia lain, science centre, vip pass, cash card, ghost house, adrenaline rush, ticket price, food court, entrance fee, shopping mall, nice place, rides, yamaha, parade;30;2017/9/25;-6.925377,107.63617;You can enjoy any attraction here without worries about hot of sun and wet of raining... Yes biggest indoor place with variance model of attraction especially for kids and teenagers, they will really like it alot and forget time to go home hehehe...;526871057;Attraction world without worries about... - Trans Studio Bandung;40;Theme Parks, Water & Amusement Parks ;Jakarta, Indonesia;1772;-6.17511;106.865039
6;Sid5515;sensa hotel, pizza hut, game center, jeans street, shopping mall, fast food, lunch dinner, outdoor shopping, game master, night walk, shops selling, food selection, fashion stores, shoe store, open space, suitable place, pine trees;40;2017/7/8;-6.894128,107.60515;Other than individual outlets around the city, do take a look at this mall. Other than its clothing retails, there are many food outlets here. The musolla (praying hall) is also convenient and quite unique. You can left your belongings at the counter and will be given one card to collect back your item later. Another interesting about this mall is its park which is well situated to balance the shopping atmosphere.;499648402;Mall with nice walkway and parks - Cihampelas Walk;40;Shopping Malls, Shopping ;Bangi, Malaysia;337;2.902075;101.783005
30;Eno P;white colour, historical building, take pictures, jalan braga, vanda, dutch, indonesia, traffic;50;2016/1/12;-6.914727,107.60909;building a good, sturdy, and pleasing to the eye, located close to the town hall Bandung, easily accessible by public transport;339368937;Nice building - Bank Indonesia Building;40;Architectural Buildings, Sights & Landmarks ;Bandung, Indonesia;123;-6.917464;107.619123
2;Fida L;t rex, earthquake simulator, english translations, school children, gedung sate, bahasa indonesia, on display, the ground floor, interesting place, entrance ticket, ticket price, souvenir shop, must visit place, old building, dinosaur, replica, information;50;2017/9/5;-6.900554,107.62045;Came here with my husband and the museum was beyond expectation. It was well maintained and so many interesting knowledge. I just came to know that Indonesia has very beautiful geological treasure. ;521542290;Cheap and interesting - Geology Museum;40;Science Museums, Museums ;Shah Alam Selangor;628;3.073281;101.518461
2;CakNarto;t rex, earthquake simulator, english translations, school children, gedung sate, bahasa indonesia, on display, the ground floor, interesting place, entrance ticket, ticket price, souvenir shop, must visit place, old building, dinosaur, replica, information;30;2017/8/27;-6.900554,107.62045;Basically this museum is good especially for my 4yo son to learn about geology (he loves nature), but the place is not attractive since smelly, not bright and cannot attract kids (kids love ice cream and some snacks).This museum too old within Bandung that famous as young and dynamic city.I wish, great museum like that can be concerned more by government.;518176662;Penuh pengetahuan tapi kurang atraktif - Geology Museum;40;Science Museums, Museums ;Shah Alam Selangor;628;3.073281;101.518461
30;Veve9588;white colour, historical building, take pictures, jalan braga, vanda, dutch, indonesia, traffic;50;2015/12/24;-6.914727,107.60909;Going with friend, just come for short time and have good experience with this old builing with long history. This colonial style building is a good place for take some photos;334805129;Quite good - Bank Indonesia Building;40;Architectural Buildings, Sights & Landmarks ;Jakarta, Indonesia;123;-6.17511;106.865039
30;Phi S;white colour, historical building, take pictures, jalan braga, vanda, dutch, indonesia, traffic;30;2016/2/9;-6.914727,107.60909;A very interesting and colonial building but nothing special. Nice pice to take some photos.There is a park in front of the building, which was opened about a year ago. The park is very clean and pleasant place for a stroll.;346175942;Colonial building - Bank Indonesia Building;40;Architectural Buildings, Sights & Landmarks ;Bangkok, Thailand;123;13.756331;100.501765
30;gedebudis;white colour, historical building, take pictures, jalan braga, vanda, dutch, indonesia, traffic;30;2016/1/13;-6.914727,107.60909;I am not sure whether the building can be opened to public everyday. The building itself is an old one used as a branch of national bank. I suspect that the building is close on holidays and weekends, but the park in front is also attractive to visitors as provided plenty space for doing activity. Family can gather and take a group photo in the park with the building on the background.;339805992;The building itself is a heritage, but... - Bank Indonesia Building;40;Architectural Buildings, Sights & Landmarks ;Bandung, Indonesia;123;-6.917464;107.619123
60;clemencia r;;30;2015/10/22;-6.937617,107.60347;Sri Baduga museum entrane is o ly 3000 rupians. Is is a small obe so you may be finish its visit in one hour. People is vrey nice and try to help you. there is free wifi ;320849028;Small but nice museum - Museum Sri Baduga;35;Specialty Museums, Museums ;Shah Alam, Malaysia;32;3.073281;101.518461
60;pianocello;;20;2014/3/31;-6.937617,107.60347;As is the case with Indonesian provincial museums, the quality of this is poor. There are no attempt to make the exhibits interesting. Considering the historical and cultural heritage of Western Java, many of the exhibits look like they could have been purchased at local shops. It's a shame because even the Central Java museum in Semarang was much better in quality.As this museum is a bit out of the tourist areas, there is no need to go all out to see this unless you have run out of things to see (the admission fee is cheap though).;199479110;Only if you are running out of things... - Museum Sri Baduga;35;Specialty Museums, Museums ;Shah Alam, Malaysia;32;3.073281;101.518461
58;tonyc496;;20;2013/6/6;-6.915829,107.62752;This place offers you nothing but outdated sundial. It's located quite far outside Bandung. Not worth visiting.;163147091;Nothing special at all - Sundial;35;Monuments & Statues, Sights & Landmarks ;Singapore, Singapore;31;1.352083;103.819836
59;Patrick_Leez;cheap price, factory outlet, outlets, display, men, clothing, quality, shirts, indonesia, shopping;50;2016/3/9;-6.882095,107.59956;In my first trip to Bandung, I visited this outlet and found it amazing!Fashion World Indonesia offer high quality fashion with good price..It has some area that under construction, when I took a peek, it seems that there will be large food area with nice theme...Very exited when I saw that!Can' wait to visit here again, especially for the upcoming new area!;354226346;Nice Shopping Place - Fashion World Indonesia;45;Factory Outlets, Shopping ;Singapore, Singapore;28;1.352083;103.819836
59;HannahAnderson25;cheap price, factory outlet, outlets, display, men, clothing, quality, shirts, indonesia, shopping;50;2016/3/23;-6.882095,107.59956;I was quite amazed when I first saw Fashion World Indonesia.It has cool fashion collection and cheaper price than others factory outlet Bandung.Very comfy experience, nice service from the clerks.Reccomended for fashion and shopping lover!;357746867;Lovely Fashion Store - Fashion World Indonesia;45;Factory Outlets, Shopping ;Cupertino, California;28;37.322998;-122.032182
54;Rita T;;20;2017/10/10;-6.902923,107.59307;no neat numbering tombs so we had a bit of trouble finding our grandfather's grave, luckily many people helped us find it;531361253;make sure you know the location of your... - Ereveld Pandu Dutch Cemetery;45;Cemeteries, Historic Sites, Sights & Landmarks ;Jakarta, Indonesia;24;-6.17511;106.865039
57;Andrie S;;30;2016/1/7;-6.921595,107.61124;This monument is a symbol of asia-africa unity in KAA. This monument locate in the middle of bandung city, close enough from bandung city hall. So many people come to this place to take some picture. Sadly some of them not maintain this important monument, shame of you!;338327752;The symbol of unity - Monumen Solidaritas Asia Afrika;35;Monuments & Statues, Sights & Landmarks ;Bandung;38;-6.917464;107.619123
56;IraRahmayanti;;40;2016/2/21;-6.824506,107.437454;Its forming in a cubicle like shape, not like other Masjid (Mosque). But the more you go, you will see even more interesting things. This building has no Airconditioning system, as its no need any. The air circulation is supplied by opening/hole/bricks in its wall. the black and white hollow bricks shaped up the building, which also forming some calligraphed form. The decoration inside is even more attractive. It was designed as a green building, representing the motto of the settlement housing where it located. ;349878603;Its uncommon, but nice.. - Al-Irsyad Mosque;45;Sacred & Religious Sites, Sights & Landmarks ;Bandung, Indonesia;20;-6.917464;107.619123
56;eddyss2000;;40;2017/2/25;-6.911733,107.61102;Been here after a meeting at Maison Pine hotel, this the nearest mosque available. With its extraordinary look, this mosque gets acknowledgement coz of its design, especially inside. Its so roomier and cool. It is worth a visit for Moslem to come and pray here.;462833725;An enchanting mosque.... - Al-Irsyad Mosque;45;Sacred & Religious Sites, Sights & Landmarks ;Jakarta, Indonesia;20;-6.17511;106.865039
52;Hans K;gedung sate, typewriters, collection, stamp, knowledge, history, indonesia;40;2015/2/16;-6.90546,107.62753;Free entry and no crowd. Stamps collection was extensive including stamps from other countries. Very large room with other stamp related items (e.g. post box, envelope sorting and postal uniforms) besides stamps.However the place is quite creepy, it's not recommended if you're female and visit this place alone when it's no crowd..;254578966;If You Like Stamps, it's a must for you - Indonesia Postal Museum;40;Specialty Museums, Museums ;Chennai (Madras), India;52;13.08268;80.270718
53;TedSG1 H;water boom, playground for kids, nice place for family, family vacation, local food, carting, land, cons, scenery, saung;10;2016/12/13;-6.81753,107.59489;Water park maybe ok but I did not go. Rides and attraction do not seems to be maintained properly. When I visited, almost half of the attraction was closed. Overall the park is run down. Do not be fooled with nice pictures online.;444134727;Not worth the visit - Elephant Village;30;Theme Parks, Water & Amusement Parks ;Yogyakarta, Indonesia;320;-7.79558;110.36949
56;firmanjul;;50;2017/3/18;-6.911733,107.61102;I like the fresh air of this mosque. The area is clean. Parking area is wide enough. near from international school.;468309017;Freash Air - Al-Irsyad Mosque;45;Sacred & Religious Sites, Sights & Landmarks ;Bandung, Indonesia;20;-6.917464;107.619123
48;Regina302;;30;2016/1/19;-6.90124,107.6202;Lived not far from this park, for me this park has been transformed into modern park and nice to visit. You can jogging along the track and feel the freshness of morning air. Maybe it's quite crowded if you want to jogging at weekend, because people came here not only for jogging but also hangout with their relatives. This park have more chair to sit. I hope visitors keep the cleanliness of this park and don't litter.;341333660;To Jogging or To Hangout - Lansia Park;35;Gardens, Nature & Parks ;Bandung, Indonesia;61;-6.917464;107.619123
48;astri a;;40;2016/4/7;-6.90124,107.6202;How nice to see this park after rearranged. Free entrance.. You can exercise, sit around, looking for inspiration and even some students use this park as a place of learning. Close to the entrance of the park, there is a legendary culinary place since 1976 that yoghut Cisangkuy.;362293762;wonderful park - Lansia Park;35;Gardens, Nature & Parks ;Bandung, Indonesia;61;-6.917464;107.619123
48;babadzikra;;50;2016/2/8;-6.90124,107.6202;My kids loved this park and always ask to go to this park whenever they visit Bandung. For them the park was all about horse riding and street foods. You may bargain the price of the horse riding, normally don't pay more than IDR 15.000 per round. ;346032277;Horse and Food - Lansia Park;35;Gardens, Nature & Parks ;Jakarta, Indonesia;61;-6.17511;106.865039
46;NK_3103;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;40;2017/1/30;-6.905872,107.61716;pretty good bargain on clothes and accessories.. there are many outlets within walking distance... you can hop from one to another ...;455912699;pretty good bargain - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Singapore;111;1.352083;103.819836
46;Nikheel R;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;40;2017/2/2;-6.905872,107.61716;A variety of choice ranging from kids to grown up ..from unbranded to branded and a lot more.it situated along the riau street and got a 4 oultets around it ..besides it is quite reasonable price when compared with others....happy shopping;456792480;This is shopping - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Grand Baie;111;-20.007419;57.584421
46;Rosalina T;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;50;2017/5/2;-6.905872,107.61716;Great shopping place with a vast range of clothes.Don't forget to check out the pop-up shop at the parking lot for more great deals and crazy discounts.;481130064;Great shopping place with a vast range... - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Western Australia, Australia;111;-27.672817;121.62831
45;Wylie T;sound quality, nice place, theater, bec, pvj, mall;40;2016/2/14;-6.94121,107.5925;Go here if u on budget but wanna watch movies.. The place still cozy though but not the mall itself .. Don't get me wrong, the cinema is really comfortable :);347526024;Cheap Movie Tickets :D - CGV Blitz Miko Mall;40;Theaters, Concerts & Shows, Other ;Bandung, West Java ;49;-6.917464;107.619123
45;Henry T;sound quality, nice place, theater, bec, pvj, mall;40;2015/1/20;-6.94121,107.5925;PRO:Blitzmegaplex has always offered different taste of movies from any other movie franchises in Indo. I had been coming to Blitz Paris Van Java since its opening in the 2000s, I think they had the best lay out and sound quality. But after several years, Blitz PVJ was really bad, especially since 2013. I could see stains on the screen. the picture was blurry, sometimes it was too dark to see. The last movie I watched in PVJ was Dracula the untold story. the quality of the movie show was so bad, I swore not to come back again. what a pity since the movie itself is awesome. I watched it in Cineplex and it was satisfactory .And then another one emerged in a very unexpected place: Kopo (what?)The very location where traffic jam occurs almost every single minute for no reason. The very location where people don't care about movies since 10 years ago (there was a theater here but it died due to the lack of viewers)I watched Dracula again for the third time, for the first 20 minutes, i was totally awkwardly alone inside a theater,very weird, but thankfully a couple came in and save the day.It was an unforgettable experience. The quality of movie show EXCEEDED MY EXPECTATION. I dare say: it was the best movie experience.I have been to many theaters in Malaysia, Bangkok and Singapore, even Hongkong. but the clear picture and sound quality have never been so good like Miko's.Weird.but hopefully it is not an overstatement: it is so good, probably because it is a newbie.At first i was a bit skeptic whether the new born theater would survive the competition, but then they provided a very unique movie called: Doraemon and it was a successful choice. People came there. thousands of them, every day during school holiday this last December.it was a bit silly actually, since the movie itself was not that great. Blitz MIko consists of 7 auditoriums. some are big, and some are smaller. it is new so you can smell new leather coming from all around you. the chairs are comfy and warm. the screen is very wide. the sound system is SUBLIME!!!!Bathroom is not attached inside the theater, so you need to walk a bit to reach it. the staff are at their best, buying ticket is fast. they smile sincerely. although i think they are too skinny.security staff look very young. and probably inexperienced. Although there must have been a mistake since i was mistakenly called 'Sir' since I am not that old (personal feedback, hahaha)They have this amazing spot where you can sit and charge your battery. totally saved my day.After a while, it came back to being a lonely place. hopefully, Blitz would come up with universal movie selections which people would love to watch.PS: come on Tuesdays, incredibly affordable tickets available. CON:Lacks of attentions has come here and there:Theater number 5: C Seating: right wing. BADI chose the seat for 'Taken 3' and it was a torture. the light coming out from the aisle light was killing my eyes. too brightI covered it with my bag and it looked ridiculous. would someone come and try to fix it? Lack of staff? in one occasion I tried to get in theater number 1, no one was waiting on the door. so I decided to come inside. but a staff told me and asked me my ticket rudely.I said: 'I came inside because the movie is already started for 5 minutes and no one was here'He just said: 'I had to guard the other door' I mean really?? one door person for 2 auditoriums? get real!over all: it is still the best one in Bandung, and it is my top choice (for now);250258342;A fresh New Attraction At The Edge of... - CGV Blitz Miko Mall;40;Theaters, Other, Concerts & Shows ;Bandung, West Java ;49;-6.917464;107.619123
46;Faizal D;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;40;2017/2/16;-6.905872,107.61716;This factory outlet is one of the most visited cloth outlet in Bandung.Lots varieties of cloth,young,men,women and couples.The ambience is good and they have a small cafetaria near the entrance for people to stopby.;460513577;Popular - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Medan;111;3.595196;98.672223
45;Regina302;sound quality, nice place, theater, bec, pvj, mall;30;2016/2/15;-6.94121,107.5925;Located in Kabupaten Bandung, maybe CGV Blitz adjust the price so they reduce the ticket price. They also provide sweet box, which no other CGV Blitz in Bandung have it. Quite comfortable because you get more privacy space.Maybe this movie under the same name 'GGV Blitz', just like in PVJ or BEC. But I feel different service from all staff here. They're not friendly as other CGV.;348055742;Cheapest ticket CGV Theater in Bandung - CGV Blitz Miko Mall;40;Theaters, Concerts & Shows, Other ;Bandung, Indonesia;49;-6.917464;107.619123
46;Desti P;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;30;2017/5/27;-6.905872,107.61716;For me, Heritage is more for babies and toddlers wardrobe needs. It has so many cute and quite affordable choices. For adults only few choices and not too interesting, better go to next door Cascade. ;488119779;Vary choices for baby and toddlers - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Western Australia, Australia;111;-27.672817;121.62831
45;Hatha H;sound quality, nice place, theater, bec, pvj, mall;40;2016/11/10;-6.94121,107.5925;This cinema is located at jalan Kopo, which is very far away from the city center. Their rustic decoration is pleasing the eyes and makes you want to pop up you phone and take a snap of it. for now they offer the cheapest price among another CGVblitz (BEC and PVJ). and the plus side is you rarely have to queue to buy ticket even at the last 10 minutes. the staff are very friendly and helpful. ;436279370;Cheapest Cinema in Town (for now) - CGV Blitz Miko Mall;40;Theaters, Other, Concerts & Shows ;Bandung, Indonesia;49;-6.917464;107.619123
45;Hans A;sound quality, nice place, theater, bec, pvj, mall;40;2016/7/16;-6.94121,107.5925;Good news for people who live around South Bandung. Finally, CGV Blitz opened in the only mall at the South Bandung. That's a nice cinema, they have 7 theaters, sweetbox (special private seat for couple and premium zone), and also 3D. But I think, they need to improve the sound quality. They need to increase the volume and buy another better speaker;393256598;cheapest cinema in Bandung! - CGV Blitz Miko Mall;40;Theaters, Concerts & Shows, Other ;Bandung, Indonesia;49;-6.917464;107.619123
45;japan1;sound quality, nice place, theater, bec, pvj, mall;40;2016/12/1;-6.94121,107.5925;good place and price for movie lover. this place really nice and best for waste your boring time. stay cool and relax your time here.;441476665;nice place - CGV Blitz Miko Mall;40;Theaters, Other, Concerts & Shows ;Bandung, Indonesia;49;-6.917464;107.619123
45;Frans d;sound quality, nice place, theater, bec, pvj, mall;40;2017/6/23;-6.94121,107.5925;Good place to look for a movie. More movies on the same place. It's clean and well organised. You can enjoy a good meal in the mall before or after the movie. ;495542280;Sunday night out. - CGV Blitz Miko Mall;40;Theaters, Other, Concerts & Shows ;Bandung, West Java ;49;-6.917464;107.619123
45;adi n;sound quality, nice place, theater, bec, pvj, mall;30;2017/4/10;-6.94121,107.5925;Go here with my son to watch movie, cause its near my house. The toilet is quite distance. The do a pretty good design with the place but the finishing is a bit rough;474421049;Funky movie place - CGV Blitz Miko Mall;40;Theaters, Other, Concerts & Shows ;Bandung, Indonesia;49;-6.917464;107.619123
45;Yanssens T;sound quality, nice place, theater, bec, pvj, mall;40;2017/7/12;-6.94121,107.5925;Small but nice. I like to come here because I always get a ticket without having a long line. The place is clean.;501453096;Nice place - CGV Blitz Miko Mall;40;Theaters, Concerts & Shows, Other ;Bandung, West Java ;49;-6.917464;107.619123
46;Ferozeuddin;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;30;2017/6/17;-6.905872,107.61716;Heritage factory outlet is also accessible form the ground floor of Cascade, making it easy to commute between both the outlets.Heritage also has a large surface area for display, both on the ground and first floor. The items here are of a lower standard than those at cascade and more often fake. Babies and Children's clothes occupy the ground floor whereas the first floor has men's wear. One needs to sift though a lot to find something good.;493883326;Average place for outlet shopping - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Mumbai (Bombay), India;111;19.075984;72.877656
46;Spachick64;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;30;2017/8/11;-6.905872,107.61716;Had gone to Bandung with the idea of spending a day shopping at the numerous factory outlets . Came away at the end of the day , empty handed and disappointed. The town area s littered with factory outlets in a couple of areas . However they all stock much the same and you need to have a keen eye when checking the quality Came across some branded goods -Zara , Victoria Secret, Top shop , Hugo boss , gap , Old navy but it was odd items in amongst a huge array of clothes Not really catering for the average sized western woman . most of the stuff is really tiny US 0-6 or super super large 4XL !!! If you're after something specific then you'll be disappointed . If something catches your eye , check it over , try it on before you buy . Sizes and quality varies enormously ;511245493;A little disappointing - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Binfield, United Kingdom;111;51.431488;-0.788077
46;HY C;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;10;2017/7/6;-6.905872,107.61716;This is not the usual premium branded outlet like we used to visit in Europe or Malaysia, Japan or HK . The environment looks like a 80s shopping mall with very messy arrangement selling low quality apparel, fake Burberry, Hugo Boss, Armani and etc. Gap should be original but it is rejected quality. Connecting with Cascade Outlet next door. Bandung is a pretty city for site seeing but definitely not for outlet shopping. ;499281296;Avoid this place! Full of imitation and... - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Malaysia;111;4.210484;101.975766
46;Seymour82;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;20;2017/7/29;-6.905872,107.61716;Went there to get some clothes. I know this place since many years. Sadly the quality of some goods is now below minimal standards. Check carefully before you decide to buy something otherwise you might buy some ill-manufactored stuff! There is a lot of staff around looking rather bored and lacking of friendliness. If you are going for outlets there are better options.;506676991;Check carefully what you buy! - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Zurich;111;47.376887;8.541694
46;clyn88;factory outlet, riau street, branded items, wide range, affordable price, t shirt, worth a visit, navy, shopping, men, fashion, outfit, wear, accessories, display, batik, bargain;10;2017/9/5;-6.905872,107.61716;This was one of the Outlet which was recommended by our local guide.From the outside it looks impressive but it was different when we walked in. The clothing inside didn't look impressive at all. Everything just look messy and all over the place. Didn't spend much time inside.Stop for a quick bite at the Food Market beside and that was the worse decision made. Firstly the choice of food we not many. Ended up ordering just a simple fried noodle and when it came it was kinda bland. So requested for some cut chili. Waiter brought a small saucer with maybe chopped 1-2 chili padi. Not much help, the noodle still tasted bland. Anyway when it was time to pay for our meal, shocked to see that we were charged Rp7,000 for the chili!!!! Waiter's reply was like, 'maybe in your country you don't charge but it's different here'.This is the first time ever for us. Have traveled around Indonesia and this is the first time a restaurant charged us for chili. I wouldn't even call this place a restaurant. It's basically just a food court. This is like McDonald's charging me for extra ketchuo. Which was ridiculous.Verdict is to avoid this place all together. Such scammer just to get that Rp7,000 from us just because we are tourist. Food is bad, drink is bad and service is no better.;521556119;The most terrible experience in whole... - Heritage Factory Outlet;35;Factory Outlets, Shopping ;Kuala Lumpur, Malaysia;111;3.139003;101.686855
